geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-28,100.26
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-29,107.21
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-30,106.29
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-01,115.25
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-02,136.64
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-03,134.41
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-04,93.63
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-05,99.56
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-06,105.75
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-07,110.44
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-08,113.82
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-09,140.92
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-10,143.36
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-11,107.47
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-12,102.12
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-13,108.21
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-14,109
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-15,111.73
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-16,138.35
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-17,141.24
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-18,98.75
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-19,95.37
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-20,100.5
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-21,105.12
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-22,106.06
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-23,125.33
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-24,126.43
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-25,92.21
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-26,94.85
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-27,101.04
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-28,102.74
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-29,105.39
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-30,127.8
city,Ann Arbor,driving,NA,Michigan,United States,2020-10-31,110.69
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-01,79.63
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-02,92.35
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-03,106.62
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-04,88.19
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-05,93.11
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-06,119.12
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-07,116.24
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-08,88.89
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-09,99.11
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-10,100.78
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-11,99.1
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-12,94.59
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-13,115
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-14,104.73
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-15,72.46
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-16,84.81
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-17,86.06
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-18,85.83
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-19,90.19
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-20,106.7
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-21,89.85
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-22,61.22
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-23,79.54
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-24,82.87
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-25,85.23
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-26,35.39
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-27,69.64
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-28,70.76
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-29,62.31
city,Ann Arbor,driving,NA,Michigan,United States,2020-11-30,71.17
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-01,72.07
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-02,76.34
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-03,78.14
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-04,90.38
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-05,83.36
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-06,61.58
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-07,72.18
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-08,75.85
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-09,80.35
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-10,81.25
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-11,93.05
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-12,80.13
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-13,64.35
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-14,76.42
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-15,79.79
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-16,83.81
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-17,82.45
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-18,95.86
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-19,80.37
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-20,64.39
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-21,82.57
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-22,87.68
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-23,95.36
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-24,61.48
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-25,27.61
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-26,59.4
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-27,56.84
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-28,72.58
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-29,77.37
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-30,76.27
city,Ann Arbor,driving,NA,Michigan,United States,2020-12-31,75.32
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-01,47.45
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-02,68.99
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-03,56.3
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-04,71.87
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-05,75.06
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-06,75.18
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-07,74.17
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-08,84.81
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-09,82.01
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-10,64.05
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-11,74.02
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-12,77.5
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-13,78.54
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-14,84.66
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-15,95.44
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-16,93.87
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-17,76.35
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-18,87.34
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-19,78.74
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-20,78.84
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-21,84.18
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-22,95.81
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-23,93.01
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-24,65.51
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-25,76.45
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-26,76.24
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-27,80.9
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-28,81.07
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-29,96.78
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-30,90.48
city,Ann Arbor,driving,NA,Michigan,United States,2021-01-31,62.39
city,Ann Arbor,driving,NA,Michigan,United States,2021-02-01,75.7
city,Ann Arbor,driving,NA,Michigan,United States,2021-02-02,81.39
city,Ann Arbor,driving,NA,Michigan,United States,2021-02-03,82.8
city,Ann Arbor,driving,NA,Michigan,United States,2021-02-04,85.73
city,Ann Arbor,driving,NA,Michigan,United States,2021-02-05,92.76
city,Ann Arbor,driving,NA,Michigan,United States,2021-02-06,92.19
city,Ann Arbor,driving,NA,Michigan,United States,2021-02-07,69.28
city,Ann Arbor,driving,NA,Michigan,United States,2021-02-08,76.27
city,Ann Arbor,driving,NA,Michigan,United States,2021-02-09,83.76
city,Ann Arbor,driving,NA,Michigan,United States,2021-02-10,83.96
city,Ann Arbor,driving,NA,Michigan,United States,2021-02-11,88.91
city,Ann Arbor,driving,NA,Michigan,United States,2021-02-12,107.24
city,Ann Arbor,driving,NA,Michigan,United States,2021-02-13,98.81
city,Ann Arbor,driving,NA,Michigan,United States,2021-02-14,85.02
